Time 	 AccX 	 AccY 	 AccZ 	 GyroX 	 GyroY 	 GyroZ
0.495	1.38	1.42	-9.56	-0.05	0.06	0.02
0.523	1.06	0.27	-9.66	-0.03	-0.02	0.06
0.549	0.22	0.31	-9.89	0.02	0.03	-0.07
0.576	0.51	-0.62	-10.21	-0.02	0.09	0.06
0.604	0.62	-0.19	-9.86	-0.06	0.02	0.06
0.630	0.80	0.93	-9.74	0.08	0.08	0.12
0.658	2.44	0.52	-9.27	0.04	0.04	-0.03
0.685	1.70	0.85	-9.63	-0.08	-0.02	0.06
0.711	0.75	0.84	-9.99	0.01	0.05	-0.03
0.739	0.98	-0.82	-9.73	-0.10	0.10	0.09
0.765	0.18	1.01	-9.75	-0.02	0.06	0.13
0.793	0.45	-0.75	-9.74	-0.03	-0.04	0.02
0.823	1.74	1.11	-9.68	0.04	-0.03	-0.14
0.849	0.57	-0.24	-9.85	0.04	0.03	0.08
0.877	0.95	1.14	-9.71	-0.01	-0.08	-0.02
0.904	1.19	0.87	-9.92	0.02	0.02	0.05
0.930	0.50	0.84	-10.02	-0.04	-0.03	0.12
0.958	0.70	0.26	-9.73	-0.01	-0.01	0.03
0.985	0.82	0.42	-9.71	-0.08	-0.03	-0.09
1.012	1.44	0.33	-9.48	0.00	0.11	-0.09
1.039	1.28	0.83	-9.80	0.02	0.06	0.09
1.067	0.61	-0.24	-9.65	-0.03	0.00	0.02
1.093	0.85	-0.51	-9.99	-0.15	-0.03	0.05
1.120	2.86	-0.47	-9.46	-0.32	0.03	0.06
1.147	1.29	2.26	-9.75	-0.37	-0.01	-0.09
1.174	1.58	1.34	-10.16	-0.09	-0.06	0.01
1.205	1.73	2.52	-9.09	0.03	-0.01	-0.07
1.231	1.25	0.04	-9.81	0.20	-0.10	-0.01
1.259	1.49	0.12	-9.66	0.02	-0.04	-0.03
1.286	1.06	0.52	-9.82	0.00	-0.10	0.04
1.312	1.11	-0.23	-9.80	0.06	-0.07	-0.02
1.340	1.16	0.50	-9.83	-0.03	-0.06	0.02
1.367	0.94	1.42	-9.76	0.08	-0.16	-0.04
1.394	1.09	-0.60	-9.85	0.15	-0.05	-0.05
1.421	0.88	0.55	-9.78	-0.01	0.07	0.07
1.448	1.90	3.08	-10.11	0.01	0.06	0.11
1.475	-1.33	-1.06	-11.15	0.02	0.07	-0.10
1.503	-2.76	-0.23	-10.46	-0.03	0.07	0.04
1.529	-3.43	0.37	-9.06	0.16	0.04	0.19
1.560	1.25	-0.85	-10.47	-0.10	0.04	-0.13
1.587	0.23	0.39	-9.92	0.09	-0.04	0.02
1.614	0.47	1.24	-9.90	-0.00	0.02	0.03
1.641	0.57	0.82	-9.96	0.05	-0.03	-0.09
1.668	0.35	-0.07	-9.71	0.17	-0.03	-0.01
1.695	1.26	0.04	-9.84	-0.03	-0.01	-0.03
1.722	1.38	-0.09	-9.15	0.02	-0.08	-0.01
1.755	1.13	0.80	-9.85	0.04	0.08	0.01
1.782	1.10	0.62	-9.55	-0.12	0.04	0.03
1.809	1.23	0.50	-9.82	-0.03	-0.04	-0.13
1.837	1.24	0.37	-9.60	-0.03	-0.11	0.00
1.863	1.45	0.93	-9.43	-0.03	0.03	0.11
1.890	0.75	0.23	-8.28	0.05	-0.25	-0.19
1.921	0.57	2.08	-10.46	-0.02	-0.02	-0.05
1.947	22.23	15.85	-5.41	0.18	-0.22	0.16
1.975	5.97	-13.21	-12.70	-0.06	-0.48	0.08
2.001	3.32	1.42	-8.27	0.03	-0.14	-0.08
2.029	2.01	0.24	-8.79	-0.04	-0.07	0.11
2.056	4.07	0.24	-8.40	-0.01	0.02	-0.01
2.083	0.17	-2.35	-10.16	-0.00	-0.01	-0.02
2.110	0.17	0.47	-10.14	-0.06	-0.12	-0.06
2.138	0.91	0.99	-9.68	0.03	-0.05	0.10
2.164	1.24	0.39	-9.60	-0.05	0.04	0.02
2.192	0.88	0.94	-9.77	0.12	0.06	0.05
2.219	0.98	0.37	-9.75	-0.01	0.06	0.01
2.245	0.62	0.34	-9.85	-0.06	0.03	0.20
2.276	0.92	0.62	-10.04	-0.06	-0.02	-0.03
2.302	2.94	1.70	-9.41	0.06	-0.07	-0.06
2.330	-0.73	-4.70	-9.60	0.19	-0.07	-0.08
2.357	1.09	1.44	-9.88	0.14	-0.06	0.03
2.383	1.26	0.51	-10.21	0.03	-0.06	-0.05
2.411	0.47	1.11	-9.86	0.05	0.07	0.02
2.438	0.40	1.69	-9.77	0.03	0.03	-0.10
2.465	0.56	-0.32	-9.75	-0.07	-0.01	0.02
2.492	-14.63	7.30	-8.56	-0.38	0.02	-0.04
2.520	1.14	4.25	-9.68	-0.13	0.15	-0.05
2.546	2.22	0.29	-9.84	0.12	0.05	0.09
2.573	1.31	0.41	-9.85	-0.02	0.00	-0.04
2.600	1.02	0.76	-9.82	-0.00	-0.05	0.02
2.630	0.97	0.50	-9.81	0.07	-0.08	0.11
2.657	0.57	0.42	-9.52	-0.08	-0.11	-0.19
2.684	0.19	0.74	-10.33	0.13	0.02	0.05
2.711	0.30	0.09	-9.88	0.05	-0.06	-0.01
2.739	1.17	0.07	-10.19	-0.08	-0.05	-0.12
2.765	1.37	0.96	-9.77	-0.11	-0.02	0.08
2.793	0.78	3.10	-9.75	0.00	0.08	-0.08
2.820	1.16	0.24	-10.01	0.00	-0.01	0.03
2.847	1.17	0.36	-9.63	0.01	-0.15	0.01
2.874	1.22	1.00	-9.73	0.02	0.12	0.10
2.900	1.00	0.98	-9.80	-0.02	-0.07	0.01
2.928	0.57	0.17	-9.80	0.03	0.09	0.15
2.955	1.66	1.27	-9.57	-0.06	0.03	0.05
2.984	0.74	1.00	-9.97	0.06	0.05	-0.00
3.012	1.00	0.96	-9.74	-0.03	0.14	0.08
3.039	1.06	0.09	-10.14	0.05	0.10	-0.06
3.065	0.40	0.80	-9.64	-0.03	0.05	-0.05
3.093	1.02	0.32	-9.85	-0.02	0.06	-0.15
3.120	1.00	1.04	-9.71	0.00	0.00	0.03
3.146	0.95	0.40	-9.83	0.02	0.01	-0.03
3.174	1.03	0.57	-9.68	-0.00	0.08	0.07
3.201	1.17	1.08	-9.56	-0.06	-0.03	0.18
3.228	1.11	0.50	-9.80	0.00	0.09	0.09
3.255	0.96	0.31	-9.57	-0.00	0.16	-0.12
3.281	0.88	0.27	-10.03	0.04	-0.06	0.04
3.309	0.74	0.78	-9.85	0.06	-0.09	-0.09
3.339	0.93	0.18	-9.96	0.00	-0.02	0.01
3.365	1.06	1.22	-9.68	-0.04	-0.08	-0.10
3.393	0.50	0.60	-9.95	-0.05	0.08	0.01
3.420	1.32	0.98	-9.53	-0.07	-0.02	0.07
3.447	0.83	0.80	-9.88	-0.01	-0.05	0.08
3.474	0.32	1.36	-9.83	-0.00	-0.03	0.07
3.501	0.45	0.96	-9.80	-0.09	-0.01	-0.12
3.528	0.12	0.27	-10.14	-0.06	-0.07	0.04
3.555	1.55	1.05	-9.62	0.08	0.06	-0.08
3.582	1.48	0.14	-9.73	0.01	-0.14	-0.01
3.609	1.15	1.30	-9.79	0.00	0.12	0.18
3.637	0.85	0.91	-9.70	0.06	0.04	0.07
3.663	1.94	0.83	-9.85	0.10	0.01	0.09
3.690	1.70	-0.83	-9.52	0.12	0.00	0.05
3.721	1.32	1.51	-9.68	0.02	0.03	-0.04
3.747	0.98	-0.26	-10.03	0.02	0.12	0.01
3.774	0.96	-0.06	-9.76	-0.07	-0.01	0.06
3.802	0.50	0.49	-9.78	-0.01	0.13	0.05
3.828	0.96	-0.65	-9.45	0.09	0.04	0.13
3.856	0.39	0.80	-10.03	0.02	0.02	0.12
3.883	0.80	1.03	-9.88	-0.01	-0.03	0.05
3.909	0.83	-0.40	-9.88	-0.01	-0.06	0.04
3.937	1.00	0.69	-9.69	-0.02	-0.05	0.19
3.978	1.48	-0.04	-9.85	-0.01	0.10	0.04
4.005	1.50	0.89	-9.59	-0.04	0.03	0.00
4.032	1.16	1.13	-9.47	0.19	0.07	-0.00
4.059	0.71	-1.56	-10.47	0.07	-0.02	-0.02
4.089	1.19	0.98	-9.32	-0.03	-0.12	-0.14
4.116	0.40	1.13	-9.67	-0.01	0.03	0.12
4.143	0.53	-0.42	-9.82	0.03	-0.12	0.06
4.170	1.11	0.57	-9.86	0.02	-0.03	-0.17
4.197	0.78	0.61	-9.78	-0.03	-0.01	0.10
4.225	0.39	0.53	-9.69	-0.12	-0.03	0.04
4.251	0.93	0.29	-9.50	0.06	0.00	0.02
4.278	1.67	0.94	-9.74	0.14	0.11	-0.05
4.305	1.16	1.27	-9.81	-0.11	0.05	0.02
4.332	1.26	0.47	-9.54	0.03	0.02	-0.12
4.360	1.13	-0.03	-9.85	0.02	-0.05	0.11
4.386	0.91	1.19	-9.65	-0.00	0.01	-0.09
4.413	1.19	0.47	-9.75	-0.02	0.03	0.13
4.444	0.93	1.08	-9.78	-0.03	0.00	-0.16
4.470	1.26	0.21	-9.78	-0.01	-0.01	-0.01
4.498	1.08	1.27	-9.83	0.03	-0.04	-0.02
4.525	0.43	0.89	-9.68	0.03	-0.11	0.08
4.551	2.94	-1.98	-9.40	-0.05	-0.03	-0.03
4.579	2.00	1.67	-9.01	0.03	0.04	0.19
4.605	0.81	1.85	-10.32	0.25	-0.06	0.01
4.633	1.42	-0.31	-9.64	0.00	0.09	-0.02
4.660	1.43	1.01	-9.78	0.07	-0.07	0.17
4.687	1.02	1.39	-9.96	-0.11	0.07	0.05
4.714	1.06	0.24	-9.55	0.10	-0.04	0.03
4.741	0.66	0.75	-9.72	-0.04	0.05	-0.08
4.768	0.79	0.68	-9.81	0.04	-0.20	-0.11
4.798	0.74	0.43	-9.70	-0.01	-0.06	0.05
4.825	1.01	0.50	-9.70	-0.01	0.02	0.01
4.852	0.97	0.68	-9.75	-0.07	0.09	-0.01
4.879	0.96	0.39	-9.71	0.05	-0.01	-0.10
4.907	1.21	0.75	-9.60	-0.06	0.03	0.07
4.933	1.10	0.95	-9.42	-0.17	0.04	0.10
4.960	1.06	0.71	-9.78	0.06	-0.04	0.01
4.987	-1.39	0.50	-9.50	0.01	-0.09	0.17
5.014	-1.45	3.52	-9.48	0.04	-0.05	-0.02
5.042	1.95	1.13	-9.28	0.08	-0.14	0.10
5.068	1.14	0.10	-9.87	0.09	-0.07	0.04
5.095	0.59	0.64	-9.80	0.04	-0.16	0.03
5.123	0.96	0.52	-9.63	0.08	-0.10	-0.07
5.149	1.21	0.44	-9.42	0.00	-0.06	-0.01
5.179	0.85	-0.23	-9.65	0.03	0.05	0.01
5.207	0.46	0.85	-9.70	-0.00	0.03	-0.05
5.233	0.55	0.20	-9.68	-0.01	0.05	-0.04
5.260	1.01	0.54	-9.93	0.13	-0.08	-0.07
5.287	0.92	0.59	-9.43	-0.05	-0.12	-0.07
5.314	0.72	1.21	-9.31	0.16	-0.06	-0.03
5.342	1.26	0.62	-9.84	-0.09	0.00	-0.00
5.368	1.11	1.49	-9.83	-0.11	-0.02	0.14
5.396	1.11	1.12	-9.73	0.00	0.04	0.08
5.423	0.83	0.82	-10.05	0.04	0.08	0.09
5.449	0.16	1.57	-10.10	-0.05	-0.08	-0.03
5.477	0.72	-1.78	-9.96	-0.06	-0.09	0.03
5.504	1.57	1.29	-9.37	-0.05	-0.14	0.14
5.534	0.73	1.16	-9.56	-0.03	-0.02	0.08
5.561	0.77	1.06	-9.80	-0.04	0.04	-0.02
5.588	0.89	0.34	-9.65	0.08	-0.01	0.03
5.615	1.15	0.43	-9.78	0.02	-0.05	0.02
5.642	1.08	0.38	-9.67	-0.13	0.16	0.01
5.669	1.01	1.06	-9.58	-0.07	0.10	0.05
5.696	1.34	0.63	-9.04	-0.07	-0.02	-0.01
5.724	1.81	-1.10	-9.45	0.04	-0.07	-0.07
5.750	0.80	0.60	-9.39	-0.07	0.09	0.03
5.777	0.61	0.11	-9.88	-0.17	-0.01	-0.01
5.805	0.81	0.80	-10.03	-0.14	0.03	0.07
5.831	0.91	1.80	-9.71	-0.11	-0.07	0.09
5.859	0.91	1.51	-9.80	0.00	0.02	-0.09
5.889	0.93	1.06	-10.03	0.13	-0.05	-0.07
5.916	0.90	1.13	-9.64	0.05	0.02	-0.10
5.943	1.07	0.88	-9.90	0.04	-0.05	-0.03
5.969	1.21	0.06	-9.78	-0.00	-0.04	0.04
5.997	1.02	0.62	-9.98	0.04	0.00	0.01
6.024	0.76	0.74	-9.74	0.08	0.16	0.09
6.050	0.10	1.39	-10.14	-0.06	0.00	-0.07
6.083	0.60	0.61	-9.87	0.02	0.01	-0.02
6.111	0.83	0.57	-9.63	0.06	0.12	0.02
6.137	0.78	0.98	-9.78	0.20	-0.02	0.07
6.164	1.10	0.37	-9.75	0.09	-0.02	0.06
6.192	1.09	-0.14	-9.52	0.16	0.03	-0.17
6.218	1.08	0.11	-9.68	0.02	0.01	0.12
6.248	1.05	0.57	-9.69	-0.01	0.06	0.03
6.276	1.06	0.58	-9.68	0.08	0.12	-0.07
6.302	1.03	0.46	-9.72	0.05	-0.07	0.03
6.329	1.01	0.66	-9.76	0.05	0.04	0.10
6.356	0.90	0.53	-9.83	-0.03	0.07	-0.00
6.383	0.91	0.44	-9.75	0.02	0.00	-0.03
6.410	0.85	0.52	-9.65	0.02	-0.05	-0.16
6.437	0.86	0.40	-9.75	0.01	-0.05	-0.13
6.464	0.43	0.60	-9.70	-0.05	-0.08	0.07
6.492	0.78	0.50	-9.84	-0.03	-0.04	-0.01
6.518	1.26	0.28	-9.65	0.07	-0.15	0.04
6.545	1.28	0.76	-9.76	-0.08	0.01	0.07
6.573	1.02	0.40	-9.82	0.01	0.06	0.10
6.599	0.52	0.76	-9.85	-0.03	0.03	-0.10
6.629	0.65	0.62	-9.65	-0.02	0.03	-0.01
6.657	0.75	0.35	-9.80	0.00	-0.04	-0.06
6.683	0.91	0.19	-9.63	0.07	-0.05	-0.07
6.711	1.19	-0.16	-9.71	-0.16	-0.05	-0.05
